Name,Count
Evie-Rae,1
Evie-Rose,3
Eviee,1
Evoleht,1
Ewa,1
Ewana,1
Ewaoluwa,1
Ewelina,1
Ewellyn,1
Eylul,1
Eyra,1
Eyva,1
Ezmae,1
Ezmay,1
Ezme,1
Ezmie,1
Fabeha,1
Fae,2
Faeryn,1
Faith,36
Faith-Louise,1
Faith-Marie,1
Faiza,1
Faizah,1
Fajr,1
Faliha,1
Fallin,1
Fallon,8
Fara,2
Faraday,1
Farah,8
Faria,1
Farida,1
Farrah,6
Farrah-Grace,1
Farrah-Payne,1
Farran,1
Farryn,2
Faryal,1
Faten,1
Fatiha,1
Fatima,17
Fatimah,5
Fatma,2
Favour,1
Fay,1
Faye,15
Fayruz,1
Fayth,1
Fearne,19
Felicity,11
Fergie,2
Fern,20
Ferne,9
Ferryn,1
Ffion,4
Fia,3
Fiadh,10
Fianna,1
Fida,1
Figgy,1
Fintry,1
Fiona,10
Fiorella,1
Fkrtemariam,1
Flora,39
Floraidh,7
Floraidh-D'arcy,1
Florence,47
Florina,1
Florrie,1
Forrest,2
Frances,5
Francesca,22
Franceska,1
Franka,1
Franki,3
Frankie,24
Frankie-Nirvana,1
Frankii,1
Frannki,1
Freaha,1
Freda-Rose,1
Frederica,1
Freja,4
Freya,226
Freya-Grace,1
Freya-Lee,1
Freyah,3
Freyja,15
Freyja-Marie,1
Freyja-Rose,1
Frida,3
Frieza,1
Fro,1
Fyonn,1
Gabriel,1
Gabriela,9
Gabriella,34
Gabriella-Grace,1
Gabrielle,10
Gaby,2
Gaia,3
Gaige,1
Gala,1
Gayle,1
Gelila,1
Gemma,6
Genavieve,1
Genevieve,7
Georgi,2
Georgia,148
Georgia-Mae,1
Georgia-Rose,1
Georgiana,1
Georgie,48
Georgie-Rose,2
Georgina,11
Georgy,1
Ghaisani,1
Ghena,1
Ghily-Mae,1
Gia,1
Giana,2
Gianna,6
Gianna-Leigh,1
Gigha,1
Gigi,1
Giliana,1
Gina,1
Ginevra,1
Ginny,1
Gioia,1
Giorgi,1
Giorgia,3
Giovana,1
Giovanna,4
Giulia,1
Giuliana,2
Gloria,1
Goldie,2
Gopi,1
Gori,1
Grace,286
Gracey,1
Gracie,74
Gracie-James,1
Gracie-Jean,1
Gracie-Leigh,2
Gracie-Mae,6
Gracie-May,2
Gracie-Rose,1
Graciella,1
Graie,1
Grayslin,1
Greer,1
Greta,2
Greta-Rose,1
Grier,2
Gurman,1
Gurshaan,1
Gursirt,1
Gwendolen,1
Gwendolyn,2
Gyunesh,1
Haadiyah,1
Haajira,1
Haania,1
Haddy,2
Hadiqa,1
Hadiya,2
Hadiyah,2
Hadleigh,2
Hadley,3
Hafsa,6
Hafsah,3
Hailee,1
Hailey,10
Hailey-J,1
Hailey-Jay,1
Hailie,7
Haillie,1
Hailo,1
Hajar,1
Hajia,1
Hajrah,1
Hala,2
Haleema,4
Haleemah,1
Haley,2
Hali,1
Halima,2
Halimah,2
Halina,1
Halle,38
Halle-Grace,1
Halle-Rose,1
Halley,2
Halli,1
Hallie,77
Hallie-Mae,1
Hallie-Rose,1
Hallie-Sophia,1
Hallihe,1
Hally,2
Hana,9
Haneen,4
Hanfa,1
Hania,6
Hanin,1
Haniya,6
Haniyah,1
Hanna,40
Hannah,125
Hannah-May,1
Hanne,1
Haram,1
